Department,Department_Division,PCN,Position_Title,FLSA_Status,Initial_Hire_Date,Date_in_Title,Salary
AGR,AGR 001 Directors Office,B.001326.1     ,Administrative Specialist II,Non Exempt,1984-09-10,2018-03-01,59947.94
AGR,AGR 001 Directors Office,B.003590,Rural Community Coordinator,Exempt,2003-08-16,2016-12-07,85765.16
AGR,AGR 001 Directors Office,B.004807,Director of Agriculture,Exempt,2008-10-01,2008-10-01,137517.91
AGR,AGR 010 Cooperative Extension Program,B.001801.1     ,Administrative Assistant,Non Exempt,2011-02-01,2019-03-14,38745.46
AGR,AGR 010 Cooperative Extension Program,B.002434.1     ,Administrative Assistant,Non Exempt,1993-08-16,1999-05-16,51521.6
AGR,AGR 110 Farmers Market,B.007414.1     ,Program Educator I,Non Exempt,2012-05-16,2018-06-21,31987.54
AGR,AGR 110 Farmers Market,B.000190.1     ,Farmer's Market Supervisor,Non Exempt,2017-03-16,2017-03-16,39863.2
AGR,AGR 310 Agricultural Reserve Program,B.005215.1     ,Planner II,Exempt,2017-08-03,2017-08-03,62312.12
AUD,AUD 180 City Auditor,B.001048.1     ,Administrative Specialist I,Non Exempt,2015-05-22,2018-04-26,45816.94
AUD,AUD 180 City Auditor,B.004376.1     ,Auditor IV,Exempt,2016-04-07,2021-05-20,84070.48
AUD,AUD 180 City Auditor,B.005728.1     ,Auditor IV,Exempt,2003-03-16,2014-08-22,91454.48
AUD,AUD 180 City Auditor,B.002257.1     ,Auditor IV,Exempt,1987-07-16,2009-08-01,114438.48
AUD,AUD 180 City Auditor,B.000983,City Auditor,Exempt,2008-05-15,2008-05-15,140247.91
AUD,AUD 180 City Auditor,B.007413,Auditor II,Exempt,2018-09-13,2021-05-06,54996.5
CAD,CAD 010 City Attorney,B.002234,Paralegal,Non Exempt,2015-10-07,2015-10-07,53250.34
CAD,CAD 010 City Attorney,B.005502.1     ,Paralegal,Non Exempt,2008-01-01,2016-02-07,53250.34
CAD,CAD 010 City Attorney,B.002685.1     ,Deputy City Attorney,Exempt,2000-09-01,2009-03-16,159823.81
CAD,CAD 010 City Attorney,B.001536.2     ,Legal Secretary II,Non Exempt,2018-04-26,2018-04-26,41880.8
CAD,CAD 010 City Attorney,B.005049,Associate City Attorney,Exempt,2006-11-16,2008-02-01,121402.06
CAD,CAD 010 City Attorney,B.005096.1     ,Paralegal,Non Exempt,2006-06-16,2014-10-22,53354.34
CAD,CAD 010 City Attorney,B.000926,Associate City Attorney,Exempt,2004-05-16,2006-05-16,122557.5
CAD,CAD 010 City Attorney,B.000135,Legal Office Administrator,Exempt,2004-09-01,2004-09-01,99320
CAD,CAD 010 City Attorney,B.006082.1     ,Paralegal,Non Exempt,2004-06-01,2018-08-30,49880.74
CAD,CAD 010 City Attorney,B.001527.1     ,Assistant City Attorney,Exempt,2018-08-16,2018-08-16,77930.84
CAD,CAD 010 City Attorney,B.005682,Associate City Attorney,Exempt,2008-10-16,2008-10-16,115319.1
CAD,CAD 010 City Attorney,B.001082,Associate City Attorney,Exempt,2013-04-16,2016-11-22,100551.1
CAD,CAD 010 City Attorney,B.006504,Senior Attorney,Exempt,2008-11-01,2015-07-07,126282.26
CAD,CAD 010 City Attorney,B.005024.1     ,Senior Attorney,Exempt,2014-07-07,2021-03-25,112977.54
CAD,CAD 010 City Attorney,B.004361,Associate City Attorney,Exempt,2015-11-22,2016-11-22,99011.9
CAD,CAD 010 City Attorney,B.001381,Associate City Attorney,Exempt,2007-09-01,2014-04-01,117087.1
CAD,CAD 010 City Attorney,B.004293,Deputy City Attorney,Exempt,1998-08-01,2007-03-01,159636.63
CAD,CAD 010 City Attorney,B.001161.3     ,Legal Secretary II,Non Exempt,2019-03-14,2019-11-21,40986.4
CAD,CAD 010 City Attorney,B.004631,Paralegal,Non Exempt,2016-03-22,2016-03-22,60093.28
CAD,CAD 010 City Attorney,B.005200.1     ,Paralegal,Non Exempt,2008-04-01,2011-05-16,55912.74
CAD,CAD 010 City Attorney,B.004750,Associate City Attorney,Exempt,2015-01-22,2019-10-24,96579.08
CAD,CAD 010 City Attorney,B.003992,Deputy City Attorney,Exempt,1999-09-20,2007-03-01,159636.63
CAD,CAD 010 City Attorney,B.007212,Assistant City Attorney,Exempt,2017-09-14,2017-09-14,79740.44
CAD,CAD 010 City Attorney,B.002654,Deputy City Attorney,Exempt,1997-11-16,2006-07-01,159636.63
CAD,CAD 010 City Attorney,B.002709,Paralegal,Non Exempt,2014-08-22,2014-08-22,53354.34
CAD,CAD 010 City Attorney,B.003579.3     ,Paralegal,Non Exempt,2021-03-11,2021-03-11,50300.12
CAD,CAD 010 City Attorney,B.007630,Office Assistant I,Non Exempt,2019-11-07,2019-11-07,31805.02
CAD,CAD 010 City Attorney,B.007213.1     ,Administrative Assistant,Non Exempt,2005-04-20,2011-11-01,41179.06
CAD,CAD 010 City Attorney,B.006176,Paralegal,Non Exempt,1998-06-01,2007-11-16,57056.74
CAD,CAD 010 City Attorney,B.005820,Senior Attorney,Exempt,2006-06-16,2015-07-07,131586.27
CAD,CAD 010 City Attorney,B.001627.1     ,Administrative Assistant,Non Exempt,1990-05-16,2019-08-01,51287.86
CAD,CAD 010 City Attorney,B.004977,Senior Attorney,Exempt,2006-04-16,2013-08-16,130338.26
CAD,CAD 010 City Attorney,B.001341,City Attorney,Exempt,1999-02-16,2009-03-01,234273
CAD,CAD 010 City Attorney,B.007664,Associate City Attorney,Exempt,2005-05-01,2021-02-25,103088.7
CAD,CAD 010 City Attorney,B.002227,Associate City Attorney,Exempt,2016-04-22,2016-04-22,104627.9
CAD,CAD 010 City Attorney,B.003967.1     ,Legal Assistant Supervisor,Non Exempt,2004-05-16,2014-04-01,69538.82
CAD,CAD 010 City Attorney,B.000103,Assistant City Attorney,Exempt,2007-05-12,2021-02-11,79999.92
CAD,CAD 010 City Attorney,B.005064.1     ,Legal Secretary II,Non Exempt,2020-05-21,2021-05-20,38792
CAD,CAD 010 City Attorney,B.005503,Associate City Attorney,Exempt,2004-06-16,2007-06-16,109432.7
CAD,CAD 010 City Attorney,B.001758.1     ,Deputy City Attorney,Exempt,1999-11-01,2016-09-22,153334.22
CCC,CCC 041 Clerk of Circuit Court,S.020157,Deputy Clerk I (State),Non Exempt,2014-04-01,2014-04-01,36767.64
CCC,CCC 041 Clerk of Circuit Court,S.020192,Deputy Clerk I (State),Non Exempt,2020-09-24,2020-09-24,32739.2
CCC,CCC 041 Clerk of Circuit Court,S.020193,Deputy Clerk I (State),Non Exempt,2019-08-13,2019-10-10,32192.94
CCC,CCC 041 Clerk of Circuit Court,S.020181,Deputy Clerk IV (State),Non Exempt,1996-02-15,2012-04-01,58479.46
CCC,CCC 041 Clerk of Circuit Court,S.020032.1     ,Deputy Clerk IV (State),Non Exempt,2000-10-16,2004-01-01,67631.46
CCC,CCC 041 Clerk of Circuit Court,S.020158,Deputy Clerk I (State),Non Exempt,1997-06-01,2000-08-01,36705.24
CCC,CCC 041 Clerk of Circuit Court,S.020185,Deputy Clerk I (State),Non Exempt,2011-05-01,2011-05-01,41926.3
CCC,CCC 041 Clerk of Circuit Court,S.020191,Deputy Clerk I (State),Non Exempt,2019-10-10,2019-10-10,32919.64
CCC,CCC 041 Clerk of Circuit Court,S.020182,Deputy Clerk IV (State),Non Exempt,1999-08-01,2012-04-01,56437.42
CCC,CCC 041 Clerk of Circuit Court,S.020186,Deputy Clerk I (State),Non Exempt,2014-05-22,2014-05-22,49151.96
CCC,CCC 041 Clerk of Circuit Court,S.020169,Deputy Clerk II (State),Non Exempt,2008-02-16,2012-04-01,48237.28
CCC,CCC 041 Clerk of Circuit Court,S.020170,Deputy Clerk II (State),Non Exempt,2002-04-16,2012-05-01,41309.06
CCC,CCC 041 Clerk of Circuit Court,S.020188,Deputy Clerk I (State),Non Exempt,2011-09-01,2011-09-01,39849.94
CCC,CCC 041 Clerk of Circuit Court,S.020150,Comptroller (State),Exempt,2001-07-01,2009-06-01,76730.68
CCC,CCC 041 Clerk of Circuit Court,B.006390,Clerk II,Non Exempt,2020-03-26,2020-03-26,32068.4
CCC,CCC 041 Clerk of Circuit Court,S.020159,Deputy Clerk I (State),Non Exempt,2013-11-01,2015-02-22,44870.02
CCC,CCC 041 Clerk of Circuit Court,S.020155,Chief Deputy Clerk II (State),Exempt,1990-07-01,2004-01-01,101324.6
CCC,CCC 041 Clerk of Circuit Court,S.020187,Deputy Clerk I (State),Non Exempt,2018-08-16,2018-08-16,33086.04
CCC,CCC 041 Clerk of Circuit Court,S.020196,Deputy Clerk I (State),Non Exempt,2010-09-16,2010-09-16,36268.44
CCC,CCC 041 Clerk of Circuit Court,S.020189,Deputy Clerk I (State),Non Exempt,2012-03-01,2012-03-01,34438.04
CCC,CCC 041 Clerk of Circuit Court,S.020190,Deputy Clerk I (State),Non Exempt,2010-09-16,2010-09-16,44437.12
CCC,CCC 041 Clerk of Circuit Court,S.020183,Deputy Clerk IV (State),Non Exempt,2000-02-01,2012-04-01,52424.58
CCC,CCC 041 Clerk of Circuit Court,S.020162,Deputy Clerk I (State),Non Exempt,2013-09-01,2018-09-13,33606.04
CCC,CCC 041 Clerk of Circuit Court,S.020160,Deputy Clerk I (State),Non Exempt,2013-03-01,2013-03-01,39160.16
CCC,CCC 041 Clerk of Circuit Court,S.020171,Deputy Clerk II (State),Non Exempt,2000-08-07,2012-04-01,42182.66
CCC,CCC 041 Clerk of Circuit Court,S.020035,Chief Deputy Clerk I (State),Exempt,1990-07-01,2000-07-16,96279.56
CCC,CCC 041 Clerk of Circuit Court,B.006702,Clerk II,Non Exempt,2021-05-06,2021-05-06,31387.2
CCC,CCC 041 Clerk of Circuit Court,S.020172,Deputy Clerk II (State),Non Exempt,1996-04-01,2003-11-01,41558.66
CCC,CCC 041 Clerk of Circuit Court,S.020161,Deputy Clerk I (State),Non Exempt,2015-11-22,2015-11-22,34042.84
CCC,CCC 041 Clerk of Circuit Court,S.020178,Deputy Clerk III (State),Non Exempt,1987-06-12,2007-09-28,51671.36
CCC,CCC 041 Clerk of Circuit Court,S.020177,Deputy Clerk II (State),Non Exempt,2001-07-09,2012-04-01,43308.98
CCC,CCC 041 Clerk of Circuit Court,S.020163,Deputy Clerk I (State),Non Exempt,2008-12-01,2008-12-01,35103.64
CCC,CCC 041 Clerk of Circuit Court,S.020173,Deputy Clerk II (State),Non Exempt,2007-06-16,2012-04-01,41309.06
CCC,CCC 041 Clerk of Circuit Court,S.020174,Deputy Clerk II (State),Non Exempt,1995-08-03,2001-10-01,46388.16
CCC,CCC 041 Clerk of Circuit Court,B.005729,Clerk III,Non Exempt,1998-10-01,2000-12-01,42307.2
CCC,CCC 041 Clerk of Circuit Court,S.020179,Deputy Clerk II (State),Non Exempt,2015-11-22,2019-08-15,35630.66
CCC,CCC 041 Clerk of Circuit Court,S.020198,Deputy Clerk I (State),Non Exempt,2016-10-07,2016-10-07,33918.04
CCC,CCC 041 Clerk of Circuit Court,S.020164,Deputy Clerk I (State),Non Exempt,2018-10-25,2018-10-25,32919.64
CCC,CCC 041 Clerk of Circuit Court,S.020618.1     ,Deputy Clerk III (State),Non Exempt,1982-07-30,2004-01-01,47923.46
CCC,CCC 041 Clerk of Circuit Court,S.020619.1     ,Deputy Clerk III (State),Non Exempt,1990-07-01,2001-09-01,48901.06
CCC,CCC 041 Clerk of Circuit Court,S.020165,Deputy Clerk I (State),Non Exempt,2015-07-07,2015-07-07,35436.44
CCC,CCC 041 Clerk of Circuit Court,B.006389,Clerk III,Non Exempt,1995-11-01,2018-10-11,42307.2
CCC,CCC 041 Clerk of Circuit Court,S.020038,Clerk of the Circuit Court (State),Exempt,1991-11-01,2004-01-01,194348.7
CCC,CCC 041 Clerk of Circuit Court,S.020151.2     ,Chief Deputy Clerk I (State),Exempt,1990-07-01,2004-01-01,96632.9
CCC,CCC 041 Clerk of Circuit Court,S.020166,Deputy Clerk I (State),Non Exempt,2015-06-07,2015-06-07,35394.84
CCC,CCC 041 Clerk of Circuit Court,S.020194,Deputy Clerk I (State),Non Exempt,2002-06-03,2012-05-01,35311.64
CCC,CCC 041 Clerk of Circuit Court,S.020197,Deputy Clerk I (State),Non Exempt,2020-09-24,2020-09-24,32344
CCC,CCC 041 Clerk of Circuit Court,S.020175,Deputy Clerk II (State),Non Exempt,2006-09-01,2012-04-01,41309.06
CCC,CCC 041 Clerk of Circuit Court,S.020040,Deputy Clerk I (State),Non Exempt,2019-09-26,2019-09-26,32192.94
CCC,CCC 041 Clerk of Circuit Court,S.020167,Deputy Clerk I (State),Non Exempt,1999-08-01,2001-06-01,37578.84
CCC,CCC 041 Clerk of Circuit Court,S.020176,Deputy Clerk II (State),Non Exempt,1996-09-09,2012-04-01,46336.16
CCC,CCC 041 Clerk of Circuit Court,S.020180,Deputy Clerk III (State),Non Exempt,1997-12-16,2012-04-01,49517.52
CCC,CCC 041 Clerk of Circuit Court,S.020195,Deputy Clerk I (State),Non Exempt,2011-12-01,2011-12-01,39878.8
CCC,CCC 041 Clerk of Circuit Court,S.020184,Deputy Clerk IV (State),Non Exempt,1997-04-07,2012-04-01,61102.08
CCC,CCC 041 Clerk of Circuit Court,S.020168,Deputy Clerk I (State),Non Exempt,2005-05-18,2008-05-16,37350.04
CIR,CIR 011 Circuit Court/Judges Office,B.002621.2     ,Judicial Administrative Assistant,Non Exempt,1994-12-09,2017-07-01,53895.14
CIR,CIR 011 Circuit Court/Judges Office,B.000176.2     ,Judicial Administrative Assistant,Non Exempt,1987-12-16,2006-07-01,69305.6
CIR,CIR 011 Circuit Court/Judges Office,B.003816,Court Administrator,Exempt,1990-07-01,2003-06-01,123385.6
